,Active Learning Iteration,Metric,Value,Run,Set,Model,Label
21,25,Precision,0.8865384615384615,0,train,Discriminative,AL
22,25,Recall,0.1531052806376619,0,train,Discriminative,AL
23,25,Accuracy,0.5667552308203255,0,train,Discriminative,AL
24,30,MCC,0.520159968841569,0,train,Discriminative,AL
25,30,Precision,0.6941176470588235,0,train,Discriminative,AL
26,30,Recall,0.8915642643639987,0,train,Discriminative,AL
27,30,Accuracy,0.7493357688475589,0,train,Discriminative,AL
28,35,MCC,0.2945979614086351,0,train,Discriminative,AL
29,35,Precision,0.8582089552238806,0,train,Discriminative,AL
30,35,Recall,0.24825639322484225,0,train,Discriminative,AL
31,35,Accuracy,0.6036200597808037,0,train,Discriminative,AL
32,40,MCC,0.16232129198134274,0,train,Discriminative,AL
33,40,Precision,0.9356435643564357,0,train,Discriminative,AL
34,40,Recall,0.06276984390567918,0,train,Discriminative,AL
35,40,Accuracy,0.5292261707074062,0,train,Discriminative,AL
36,45,MCC,0.3740772891544015,0,train,Discriminative,AL
37,45,Precision,0.8318980365139511,0,train,Discriminative,AL
38,45,Recall,0.4010295582862836,0,train,Discriminative,AL
39,45,Accuracy,0.6599966788442378,0,train,Discriminative,AL
40,50,MCC,0.32927231279698094,0,train,Discriminative,AL
41,50,Precision,0.8596070915189267,0,train,Discriminative,AL
42,50,Recall,0.2979076718698107,0,train,Discriminative,AL
43,50,Accuracy,0.6246263699767519,0,train,Discriminative,AL
0,0,MCC,0.16511583311359776,0,test,Discriminative,AL
1,0,Precision,0.8666666666666667,0,test,Discriminative,AL
2,0,Recall,0.08,0,test,Discriminative,AL
3,0,Accuracy,0.547085201793722,0,test,Discriminative,AL
4,5,MCC,0.4207945891181218,0,test,Discriminative,AL
5,5,Precision,0.7070866141732284,0,test,Discriminative,AL
6,5,Recall,0.6907692307692308,0,test,Discriminative,AL
7,5,Accuracy,0.7107623318385651,0,test,Discriminative,AL
8,10,MCC,0.1977474340887725,0,test,Discriminative,AL
9,10,Precision,0.8316831683168316,0,test,Discriminative,AL
10,10,Recall,0.12923076923076923,0,test,Discriminative,AL
11,10,Accuracy,0.5642750373692078,0,test,Discriminative,AL
12,15,MCC,0.33229182329884865,0,test,Discriminative,AL
13,15,Precision,0.7554347826086957,0,test,Discriminative,AL
14,15,Recall,0.4276923076923077,0,test,Discriminative,AL
15,15,Accuracy,0.6547085201793722,0,test,Discriminative,AL
16,20,MCC,0.4837058827522896,0,test,Discriminative,AL
17,20,Precision,0.6375,0,test,Discriminative,AL
18,20,Recall,0.9415384615384615,0,test,Discriminative,AL
19,20,Accuracy,0.7115097159940209,0,test,Discriminative,AL
20,25,MCC,0.2549201176753008,0,test,Discriminative,AL
21,25,Precision,0.8809523809523809,0,test,Discriminative,AL
22,25,Recall,0.17076923076923076,0,test,Discriminative,AL
23,25,Accuracy,0.585949177877429,0,test,Discriminative,AL
24,30,MCC,0.5002592039815977,0,test,Discriminative,AL
25,30,Precision,0.6685779816513762,0,test,Discriminative,AL
26,30,Recall,0.8969230769230769,0,test,Discriminative,AL
27,30,Accuracy,0.7339312406576981,0,test,Discriminative,AL
28,35,MCC,0.30260946405207706,0,test,Discriminative,AL
29,35,Precision,0.8373205741626795,0,test,Discriminative,AL
