Active Learning Iteration,Metric,Value,Run,Set,Model
38,Precision,0.7857142857142857,2,train,Generative
38,Recall,0.4476744186046512,2,train,Generative
38,Accuracy,0.853904282115869,2,train,Generative
39,MCC,0.5183822879152591,2,train,Generative
39,Precision,0.7857142857142857,2,train,Generative
39,Recall,0.4476744186046512,2,train,Generative
39,Accuracy,0.853904282115869,2,train,Generative
40,MCC,0.5183822879152591,2,train,Generative
40,Precision,0.7857142857142857,2,train,Generative
40,Recall,0.4476744186046512,2,train,Generative
40,Accuracy,0.853904282115869,2,train,Generative
41,MCC,0.5183822879152591,2,train,Generative
41,Precision,0.7857142857142857,2,train,Generative
41,Recall,0.4476744186046512,2,train,Generative
41,Accuracy,0.853904282115869,2,train,Generative
42,MCC,0.5183822879152591,2,train,Generative
42,Precision,0.7857142857142857,2,train,Generative
42,Recall,0.4476744186046512,2,train,Generative
42,Accuracy,0.853904282115869,2,train,Generative
43,MCC,0.5183822879152591,2,train,Generative
43,Precision,0.7857142857142857,2,train,Generative
43,Recall,0.4476744186046512,2,train,Generative
43,Accuracy,0.853904282115869,2,train,Generative
44,MCC,0.5183822879152591,2,train,Generative
44,Precision,0.7857142857142857,2,train,Generative
44,Recall,0.4476744186046512,2,train,Generative
44,Accuracy,0.853904282115869,2,train,Generative
45,MCC,0.5183822879152591,2,train,Generative
45,Precision,0.7857142857142857,2,train,Generative
45,Recall,0.4476744186046512,2,train,Generative
45,Accuracy,0.853904282115869,2,train,Generative
46,MCC,0.5183822879152591,2,train,Generative
46,Precision,0.7857142857142857,2,train,Generative
46,Recall,0.4476744186046512,2,train,Generative
46,Accuracy,0.853904282115869,2,train,Generative
