Run,Number of labeled points,Model,Metric,Value,Set,Approach,Dash
4,22,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,22,Discriminative,Accuracy,0.9593333333333334,test,Active WeaSuL,
4,23,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,23,Discriminative,Accuracy,0.9573333333333334,test,Active WeaSuL,
4,24,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,24,Discriminative,Accuracy,0.9583333333333334,test,Active WeaSuL,
4,25,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,25,Discriminative,Accuracy,0.9576666666666667,test,Active WeaSuL,
4,26,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,26,Discriminative,Accuracy,0.9566666666666667,test,Active WeaSuL,
4,27,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,27,Discriminative,Accuracy,0.9576666666666667,test,Active WeaSuL,
4,28,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,28,Discriminative,Accuracy,0.9576666666666667,test,Active WeaSuL,
4,29,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,29,Discriminative,Accuracy,0.96,test,Active WeaSuL,
4,30,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,30,Discriminative,Accuracy,0.9573333333333334,test,Active WeaSuL,
5,0,Generative,Accuracy,0.8133333333333334,test,Active WeaSuL,
5,0,Discriminative,Accuracy,0.8686666666666667,test,Active WeaSuL,
5,1,Generative,Accuracy,0.961,test,Active WeaSuL,
5,1,Discriminative,Accuracy,0.9706666666666667,test,Active WeaSuL,
5,2,Generative,Accuracy,0.961,test,Active WeaSuL,
5,2,Discriminative,Accuracy,0.9736666666666667,test,Active WeaSuL,
5,3,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
5,3,Discriminative,Accuracy,0.9643333333333334,test,Active WeaSuL,
5,4,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
5,4,Discriminative,Accuracy,0.9643333333333334,test,Active WeaSuL,
5,5,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
5,5,Discriminative,Accuracy,0.969,test,Active WeaSuL,
5,6,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
5,6,Discriminative,Accuracy,0.9703333333333334,test,Active WeaSuL,
5,7,Generative,Accuracy,0.961,test,Active WeaSuL,
5,7,Discriminative,Accuracy,0.9726666666666667,test,Active WeaSuL,
5,8,Generative,Accuracy,0.961,test,Active WeaSuL,
5,8,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
5,9,Generative,Accuracy,0.961,test,Active WeaSuL,
5,9,Discriminative,Accuracy,0.975,test,Active WeaSuL,
5,10,Generative,Accuracy,0.961,test,Active WeaSuL,
5,10,Discriminative,Accuracy,0.975,test,Active WeaSuL,
5,11,Generative,Accuracy,0.961,test,Active WeaSuL,
5,11,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
5,12,Generative,Accuracy,0.961,test,Active WeaSuL,
5,12,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
5,13,Generative,Accuracy,0.961,test,Active WeaSuL,
5,13,Discriminative,Accuracy,0.9743333333333334,test,Active WeaSuL,
5,14,Generative,Accuracy,0.961,test,Active WeaSuL,
5,14,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
5,15,Generative,Accuracy,0.961,test,Active WeaSuL,
5,15,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
5,16,Generative,Accuracy,0.961,test,Active WeaSuL,
5,16,Discriminative,Accuracy,0.975,test,Active WeaSuL,
5,17,Generative,Accuracy,0.961,test,Active WeaSuL,
5,17,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
5,18,Generative,Accuracy,0.961,test,Active WeaSuL,
5,18,Discriminative,Accuracy,0.975,test,Active WeaSuL,
5,19,Generative,Accuracy,0.961,test,Active WeaSuL,
5,19,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
5,20,Generative,Accuracy,0.961,test,Active WeaSuL,
5,20,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
5,21,Generative,Accuracy,0.961,test,Active WeaSuL,
5,21,Discriminative,Accuracy,0.9743333333333334,test,Active WeaSuL,
5,22,Generative,Accuracy,0.961,test,Active WeaSuL,
5,22,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
5,23,Generative,Accuracy,0.961,test,Active WeaSuL,
5,23,Discriminative,Accuracy,0.9756666666666667,test,Active WeaSuL,
5,24,Generative,Accuracy,0.961,test,Active WeaSuL,
5,24,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
5,25,Generative,Accuracy,0.961,test,Active WeaSuL,
5,25,Discriminative,Accuracy,0.975,test,Active WeaSuL,
5,26,Generative,Accuracy,0.961,test,Active WeaSuL,
5,26,Discriminative,Accuracy,0.975,test,Active WeaSuL,
5,27,Generative,Accuracy,0.961,test,Active WeaSuL,
5,27,Discriminative,Accuracy,0.974,test,Active WeaSuL,
5,28,Generative,Accuracy,0.961,test,Active WeaSuL,
5,28,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
5,29,Generative,Accuracy,0.961,test,Active WeaSuL,
5,29,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
5,30,Generative,Accuracy,0.961,test,Active WeaSuL,
5,30,Discriminative,Accuracy,0.975,test,Active WeaSuL,
6,0,Generative,Accuracy,0.8133333333333334,test,Active WeaSuL,
6,0,Discriminative,Accuracy,0.8686666666666667,test,Active WeaSuL,
6,1,Generative,Accuracy,0.8133333333333334,test,Active WeaSuL,
